company_name,country,firm_id
Medanito S.A.,AR,2021599
Scc Power Argentina S.A.,AR,13842957
Mb Ivanic D.O.O. Ljubuski,BA,3696900
Pass D.O.O. Bijeljina,BA,8561701
Kronos AD,BG,4957557
Bioset OOD,BG,3642432
Icover Services EOOD,BG,13352912
Appfire Bulgaria EOOD,BG,8441551
Magnetar EOOD,BG,14610528
Everway OOD,BG,14633179
Lbg Brasil Administracao Ltda.,BR,1150601
Agro Pecuaria Quagliato S.A.,BR,1140756
Gree Electric Appliances do Brasil Ltda.,BR,1148474
Later Engenharia Ltda.,BR,3592518
Dax Energy Equipamentos e Sistemas Ltda.,BR,5482482
Panelinhas do Brasil Cozinha e Restaurante Jk Ltda.,BR,5487793
Galheta Ferramentas Ltda.,BR,5492040
Azevedo & Travassos S.A.,BR,1141699
Rumo Malha Sul S.A.,BR,1140939
Sc Distribuicao Ltda.,BR,1146188
Vert-11 Companhia Securitizadora de Creditos Financeiros e Comerciais,BR,13427096
Refinaria de Manaus S.A.,BR,13500279
Borrachas Vipal S.A.,BR,1142356
Oi S.A. - Em Recuperacao Judicial,BR,1142483
Vulcabras S.A.,BR,1156881
Azzas 2154 S.A.,BR,1141291
Brf S.A.,BR,1152650
Tracao S.A.,BR,1155930
Nsp Investimentos S.A.,BR,5487065
Acu Petroleo Investimentos S.A.,BR,4890187
Isolux Corsan do Brasil Ltda.,BR,3302387
Holding Xs 1 S.A.,BR,12737848
2 Aliancas Participacoes Ltda.,BR,1140008
Catalao Veiculos Ltda.,BR,1143110
Ipso Facto Assessoria de Marketing e Comunicacao Ltda.,BR,1149736
Nsp Investimentos S.A.,BR,5487065
Autovias S.A.,BR,1141654
Rdn Concessoes e Participacoes Ltda.,BR,1153822
Fortunceres S.A.,BR,17178529
Csixers Holding S.A.,BR,9622024
Construtora Tenda S.A.,BR,12765184
Xs2 Vida e Previdencia S.A.,BR,12711276
H&Pc Brazil Participacoes S.A.,BR,12965949
Thunnus Participacoes S.A.,BR,4046650
Porto Seguro Assistencia e Servicos S.A.,BR,14865107
Gsfrp Participacoes S.A.,BR,5449221
Heliporto do Acu S.A.,BR,16142375
Taua Brasil Palma S.A.,BR,9485775
Celba - Centrais Eletricas Barcarena S.A.,BR,5486857
Explotaciones Sanitarias S.A.,CL,2444107
GFI Brokers (Chile) Agentes de Valores SpA,CL,2443905
Unispan Chile S.A.,CL,3317869
Invexans S.A.,CL,1160774
Club Hipico de Santiago S.A.,CL,1160280
"Hubei Mingke Commerce and Trade Co., Ltd",CN,16359572
"Tianjin Hengda Weiye Investment Co., Ltd",CN,3654121
"Chongqing Hailiang Metal Material Co., Ltd.",CN,9387407
"Guangzhou Guangri Stock Co., Ltd",CN,1738703
"Bazhou Jinghua Metal Product Co., Ltd",CN,3578780
"Cofco Excel Joy (Tianjin) Co., Ltd.",CN,4984075
Jiangxi Provincial Water Conservancy Investment Group Corp.,CN,16549598
"Shiyan Heyonze New Building Materials Co., Ltd",CN,17165354
"Guangdong Hongtu Technology(Holdings) Co.,Ltd",CN,2313824
"Anhui Wanwei Updated High-Tech Material Industry Co.,Ltd",CN,1736879
"Alar City Huixin Financial Consulting Co., Ltd",CN,16382241
"Tianjin Jiacheng Metal Material Co., Ltd",CN,16271055
"Jilin Yatai (Group) Co.,Ltd.",CN,1740330
"Gansu Ju Finance & Tax Accounting Affairs Co., Ltd",CN,16380640
"Hainan Xingwu Fire Safety Engineering Co., Ltd",CN,16366728
"Hubei Enyu Waterproof and Anticorrosion Engineering Co., Ltd",CN,16359297
"Luoyang Changxing Agricultural Machinery Co., Ltd",CN,5204740
"Guangxi Guangtou Petrochemical Co., Ltd",CN,16364907
"Kai Yue Auto Parts Manufacturing (Zhangjiakou)co., Ltd.",CN,9368637
"Luohe Anzhe Construction Labor Service Subcontracting Co., Ltd",CN,16353122
"Shiyan City Pengteng Construction Labor Service Co., Ltd",CN,16357420
Changbai Chaoxian Autonomous County Linfeng Fungus Co. Ltd,CN,17150013
"Yizheng City Hengnan Intelligent Technology Co., Ltd",CN,16286097
"Shaanxi Hande Axle Co., Ltd.",CN,5345697
"Chifeng chen shun construction labor service co., ltd",CN,16281079
"Zibo Qixiang Tengda Chemical Sales Co., Ltd",CN,16341404
"Tongliao City Fengyue Construction Engineering Co., Ltd",CN,16281337
"Chongqing Re-creation Yongchuang Metal Material Co., Ltd",CN,16369346
"Xinjiang Joinworld Co.,Ltd.",CN,1730886
"Sichuan Langjiu Co., Ltd.",CN,5328063
"Hunan Liangang Steel Products Processing and Distribution Co., Ltd",CN,9382363
"Fujian Gaoyi Energy-saving Technology Co., Ltd",CN,16327773
"Erdos Mengtai Aluminum Co., Ltd",CN,12908081
"Wuhan Rural Commercial Bank Co., Ltd",CN,3652772
"Inner Mongolia Zhihuan Construction Engineering Co., Ltd",CN,16282573
"Liaoning Hongxu Construction Development Co., Ltd",CN,14100452
"Zhangqiu City Huinong New Rural Construction Investment and Development Co., Ltd",CN,16338628
"Tom YIN SENQI BIOTECHNOLOGY CO., LTD",CN,17164127
"Hangxiao Steel Structure Co.,Ltd",CN,1734864
"Laiwu Finance & Finance International Trade Co., Ltd",CN,9376275
"Guangdong Baolihua New Energy Stock Co.,Ltd",CN,1738859
"Nanchong Jinyirun Financial Information Co., Ltd",CN,16372202
"Meihua Construction Co., Ltd",CN,5156533
"Guangxi Huiyu Grain and Oil Industry Co., Ltd",CN,5306658
"Hebei New Wu'an Lron And Steel Group Hong Rong Lron And Steel Co., Ltd",CN,4999035
"Guangxi Zhongjin Metal Technology Co., Ltd.",CN,5307398
"Hebi Coal Industry (Group) Co., Ltd",CN,5207022
Siete24 S.A.S,CO,1180037
A P Seguros y Cia Ltda,CO,1180104
Gou Payments S.A Easpbv,CO,1180125
A Z Seguridad y Equipos Ltda,CO,1180141
A. Menendez & Compania Limitada,CO,1180151
A. Holguin Ingenieria S.A.S.,CO,1180171
