company_name,country,input_full_address,input_industry,firm_id
A M Corporation,Bangladesh,"Block-Cen (H), Plot-16, Road-111, Gulshan, Dhaka, Dhaka, 1212",,2
Ayaks-1 Eood OOD (Аякс-1 ООД),Bulgaria,"Bul. Aleksandar Batenberg 28, ET. 5, Ofis 41 Faks: 042/ 606 699, Stara Zagora, Stara Zagora, 6000",,16
"Baby Ddo Co.,ltd.",South Korea,"3/F, 58 Myeongnyesandan 4-Ro, Jangan-Eup Gijang-Gun, Busan, Busan, 46028",,17
Btg Pactual Resseguradora S.A.,Brazil,"Rua Brigadeiro Faria Lima 3477, Andar 14 - Parte, Itaim Bibi, Sao Paulo, Sao Paulo, 04538133",,22
Cameras World Llc,Ukraine,"10A Vul. Akademika Filatova, Kyiv, Kiev, 01042",,24
d.o.o. Delic-Transport,Bosnia and Herzegovina,"Dikaljib.B., Sokolac, Republic of Srpska, 71350",,34
Dzhien OOD (Джиен ООД),Bulgaria,"Ul. Patriarh Eftimiy 5, ET. 7, Ap. 13, Varna, Varna, 9000",,37
Eqo Polnoc Sp. z o.o.,Poland,"Ul. Ludwika Warynskiego 2, Opole, Opolskie, 45-047",,46
"Fondo Para La Rehabilitacion, Inversion Social y Lucha Contra El Crimen Organizado",Colombia,"Carrera 7 # 32-42 Centro Comercial San Martin Local 107, Bogota D.C., Bogota D.C, 110231",,49
Granjas Santa Margarita S.A. De C.V.,Mexico,"Miguel Aleman No. 633-25 Sur, Centro, Sonora, , 85000",,57
Itqan Engineering Bureau,Iraq,"Dream Building, Commercial Road, Al Saidiyah, Baghdad, Baghdād,",,64
Lexicon Trinidad Limited,Trinidad and Tobago,"Lp #49 Boundary Rd, San Juan, Saint George,",,73
Log-siberia EOOD (Лог-Сиберия ЕООД),Bulgaria,"Bul. Nikola Y. Vaptsarov 51A, Sofia, Sofia - city, 1407",,75
Parsa d.o.o.,Croatia,"Radnicka Cesta 80, Zagreb, City of Zagreb, 10000",,85
Pass d.o.o. Bijeljina,Bosnia and Herzegovina,"Ljeskovac, Novo Naselje 22, Bijeljina, Republic of Srpska, 76300",,86
Pelo Tekstil San. Ve Tic. Ltd. Sti.,Turkiye,"D:2 No:30 Guzelyali Mahallesi Erdil Sokak Pendik, Istanbul, Marmara, 34903",,87
Prooriente S.A.S.,Ecuador,"Via Al Aguarico S-n, Nueva Loja, Sucumbios,",,95
Ramzai Prat,Ukraine,"Bud. 12 Vul. Kavkazka, Kyiv, Kiev, 03035",,99
Rip OOO (Nizhny Novgorod) (Рип ООО (Нижний Новгород)),Russia,"Pochainskaya, 17S, 326, Nizhny Novgorod, Nizhny Novgorod Oblast, 603001",,101
Tpk Specservis OOO (Тпк Спецсервис ООО),Russia,"4/1, 34, Leningrad Oblast, Leningrad Oblast, 188517",,114
UAB Publica,Lithuania,"Tilzes g. 60, Klaipeda, Klaipeda County, LT-91108",,115
Veles Development D.O.O.,Serbia,"Bore Stankovica 17, 11000, Belgrade, Belgrade, PAK 122508",,117
Vikvol Invest TOV,Ukraine,"Bud. 4A Kv. 44, Vul. Korolenka, Zhytomyr, Zhytomyr Oblast, 10003",,119
