company_name,country,input_full_address,firm_id,input_industry
Johnson Acero S.A.,AR,,1105646,
Mercadolibre S.R.L.,AR,,2438114,
Integracion Electrica Sur Argentina S.A.,AR,,2379477,
Metrogas S.A.,AR,,1106506,
Allianz Re Argentina S.A.,AR,,4076615,
Medanito S.A.,AR,,2021599,
Scc Power Argentina S.A.,AR,,13842957,
Drogueria Del Sud S.A.,AR,,1103199,
Mb Ivanic D.O.O. Ljubuski,BA,,3696900,
Eko Toplane Banja Luka D.O.O.,BA,,10003600,
Heez Transport D.O.O.Tuzla,BA,,9942916,
Kalea D.O.O. Sarajevo,BA,,8562554,
I-Crni D.O.O.,BA,,3697553,
Betanijacentar D.O.O. Sarajevo,BA,,8554303,
Struktura D.O.O. Jajce,BA,,8563555,
Iffco Velvet D.O.O.,BA,,8563097,
Lion D.O.O.,BA,,2357419,
Variplast D.O.O. Gracanica,BA,,3696926,
Pass D.O.O. Bijeljina,BA,,8561701,
Akhnaton Bulgaria AD,BG,,4957646,
Kronos AD,BG,,4957557,
Avtobusni Prevozi Plovdiv EOOD,BG,,4958053,
Md Metals EOOD,BG,,9938591,
Vestal X OOD,BG,,4957610,
Bioset OOD,BG,,3642432,
Castello Precast OOD,BG,,3587371,
Right Cleaning OOD,BG,,8496514,
Icover Services EOOD,BG,,13352912,
Appfire Bulgaria EOOD,BG,,8441551,
Metalhim Bg,BG,,21674039,
Magnetar EOOD,BG,,14610528,
Bread Trading Eood OOD,BG,,8511266,
Gomasidra LTD.,BG,,21599194,
Bratia Matevi OOD,BG,,3587473,
Everway OOD,BG,,14633179,
Samsung Eletronica da Amazonia Ltda.,BR,,1154104,
Lbg Brasil Administracao Ltda.,BR,,1150601,
Agro Pecuaria Quagliato S.A.,BR,,1140756,
Construtora Metrocasa S.A.,BR,,14096539,
Gree Electric Appliances do Brasil Ltda.,BR,,1148474,
Sierra Investimentos Brasil Ltda.,BR,,1152506,
San Marino Veiculos Ltda.,BR,,1154108,
Auto Viacao Ouro Verde Ltda.,BR,,2193974,
Fertigran Fertilizantes Vale do Rio Grande Ltda.,BR,,2605614,
Contracta Engenharia Ltda.,BR,,3406272,
Later Engenharia Ltda.,BR,,3592518,
Centro Medico Integrado Ltda.,BR,,5473939,
Centro Medico Integrado Ltda.,BR,,5473939,
Dax Energy Equipamentos e Sistemas Ltda.,BR,,5482482,
Panelinhas do Brasil Cozinha e Restaurante Jk Ltda.,BR,,5487793,
Galheta Ferramentas Ltda.,BR,,5492040,
Banco Pine S.A.,BR,,1141931,
Azevedo & Travassos S.A.,BR,,1141699,
Rumo Malha Sul S.A.,BR,,1140939,
Sc Distribuicao Ltda.,BR,,1146188,
Fica Empreendimentos Imobiliarios S.A.,BR,,2343450,
Vert-11 Companhia Securitizadora de Creditos Financeiros e Comerciais,BR,,13427096,
Refinaria de Manaus S.A.,BR,,13500279,
Aperam Bioenergia Ltda.,BR,,2677879,
Banco Toyota do Brasil S.A.,BR,,2431965,
Rumo S.A.,BR,,1140938,
Santos Brasil Participacoes S.A.,BR,,1140978,
Altere Securitizadora S.A.,BR,,1140999,
Ld Celulose S.A.,BR,,8188371,
Banco Santander Brasil S.A.,BR,,1141912,
Borrachas Vipal S.A.,BR,,1142356,
Oi S.A. - Em Recuperacao Judicial,BR,,1142483,
Brasilseg Companhia de Seguros,BR,,1144948,
Whirlpool S.A.,BR,,1151756,
Randoncorp S.A.,BR,,1153449,
Rodobens S.A.,BR,,1153818,
Saneamento De Goias S.A.,BR,,1154129,
Dexco S.A.,BR,,1154306,
Schulz S.A.,BR,,1154374,
Vulcabras S.A.,BR,,1156881,
Repsol Sinopec Brasil S.A.,BR,,1157019,
Xp Inc.,BR,,14784234,
Ci&T Software S.A.,BR,,14788384,
Azzas 2154 S.A.,BR,,1141291,
Braskem S.A.,BR,,1142522,
Celulose Nipo-Brasileira S.A. - Cenibra,BR,,1143228,
Equatorial Goias Distribuidora De Energia S.A.,BR,,1143925,
Monteiro Aranha S.A.,BR,,1151616,
Brf S.A.,BR,,1152650,
Usinas Sid De Minas Gerais S.A.-Usiminas,BR,,1156530,
Tracao S.A.,BR,,1155930,
Telinvest Ltda.,BR,,1155704,
Atria Investimentos e Participacoes S.A.,BR,,1153351,
Ventos de Santo Estevao Holding S.A.,BR,,4900071,
Sharp do Brasil S.A.Ind de Equipamentos Eletronicos,BR,,10116756,
Amaggi Exportacao e Importacao Ltda.,BR,,13344648,
Nsp Investimentos S.A.,BR,,5487065,
Acu Petroleo Investimentos S.A.,BR,,4890187,
Isolux Corsan do Brasil Ltda.,BR,,3302387,
Holding Xs 1 S.A.,BR,,12737848,
Amazone Investimentos Ltda.,BR,,13497232,
Atria Investimentos e Participacoes S.A.,BR,,1153351,
Amcor Embalagens da Amazonia Ltda.,BR,,1149529,
Lmb Tecnologia Ltda.,BR,,3895805,
2 Aliancas Participacoes Ltda.,BR,,1140008,
Agroceres Pic Suinos Ltda.,BR,,1140465,
Catalao Veiculos Ltda.,BR,,1143110,
Companhia Industrial Dox,BR,,1144065,
Ipso Facto Assessoria de Marketing e Comunicacao Ltda.,BR,,1149736,
Fiacao e Tecelagem Sao Jose S.A. - em Recuperacao Judicial,BR,,1147575,
Cargill Novos Horizontes Ltda.,BR,,1148456,
Nsp Investimentos S.A.,BR,,5487065,
Yinson Bergenia Production B.V.,BR,,21424013,
Autovias S.A.,BR,,1141654,
Rdn Concessoes e Participacoes Ltda.,BR,,1153822,
Anglo American Minerio de Ferro Brasil S.A.,BR,,14849944,
Fortunceres S.A.,BR,,17178529,
Shb Comercio e Industria de Alimentos S.A.,BR,,5715745,
Csixers Holding S.A.,BR,,9622024,
Construtora Tenda S.A.,BR,,12765184,
Csn Cimentos S.A.,BR,,14311142,
Xs2 Vida e Previdencia S.A.,BR,,12711276,
Ultra Som Servicos Medicos S.A.,BR,,5566641,
Ardan Participacoes S.A.,BR,,4939413,
H&Pc Brazil Participacoes S.A.,BR,,12965949,
Thunnus Participacoes S.A.,BR,,4046650,
Porto Seguro Assistencia e Servicos S.A.,BR,,14865107,
Agro Key Participacoes S.A.,BR,,10027084,
Gsfrp Participacoes S.A.,BR,,5449221,
Jonava Rj Infraestrutura e Redes de Telecomunicacoes S.A.,BR,,13418148,
Ecel - Eletron Participacoes Societarias S.A.,BR,,9619969,
Potiguar e&P S.A.,BR,,9611195,
Caixa Holding Securitaria S.A.,BR,,9462403,
Vibra Comercializadora de Energia S.A.,BR,,5716132,
Heliporto do Acu S.A.,BR,,16142375,
Taua Brasil Palma S.A.,BR,,9485775,
Celba - Centrais Eletricas Barcarena S.A.,BR,,5486857,
Rio Amambai Agroenergia S.A.,BR,,4939462,
Cristalcopo S.A.,BR,,10490778,
Hospital Care S.A.,BR,,7073941,
Explotaciones Sanitarias S.A.,CL,,2444107,
GFI Brokers (Chile) Agentes de Valores SpA,CL,,2443905,
Antalis Abitek S.P.A.,CL,,21597864,
Bci Asesoria Financiera S.A.,CL,,3251264,
Unispan Chile S.A.,CL,,3317869,
Invexans S.A.,CL,,1160774,
Salomon Sack S.A.,CL,,3312472,
Efe Arica - La Paz S.A.,CL,,1160547,
Ferrocarriles del Sur S.A.,CL,,1160550,
Sociedad Productora de Leche S.A.,CL,,1161053,
Minera Michilla S.A.,CL,,1160821,
Canal 13 S.A.,CL,,1160885,
Club Hipico de Santiago S.A.,CL,,1160280,
Esval S.A.,CL,,1160528,
Almagro S.A.,CL,,1160067,
"Foshan Kunpeng Trading Co., Ltd",CN,,16363083,
"Sailun Tire Sales Co., Ltd.",CN,,5171048,
"Hubei Mingke Commerce and Trade Co., Ltd",CN,,16359572,
"Shaanxi Jiangong Ninth Construction Group Co., Ltd",CN,,5346626,
"Tianjin Hengda Weiye Investment Co., Ltd",CN,,3654121,
"Yunnan Jiantou Fourth Construction Co., Ltd",CN,,5423786,
"Chongqing Hailiang Metal Material Co., Ltd.",CN,,9387407,
"Shanxi Xiangning Coking Coal Group Co., Ltd",CN,,5013763,
"Yanfeng Auto Interior System (Shanghai) Co., Ltd",CN,,5063390,
"China Water Investment Group Co., Ltd.",CN,,13210226,
"Yapp Automotive Systems Co.,Ltd.",CN,,6689236,
"Guangzhou Guangri Stock Co., Ltd",CN,,1738703,
"Bros Eastern Co.,Ltd",CN,,3524855,
Shanghai Gm Dong Yue Powertrain Company Limited,CN,,5179108,
"Wuhan Engineering Co., Ltd Of Crsg",CN,,3662608,
"Bazhou Jinghua Metal Product Co., Ltd",CN,,3578780,
"Shanghai Puyao Agricultural Products Co., Ltd.",CN,,7448967,
"Citic Heavy Industries Co., Ltd",CN,,3540478,
"Western Xinjiang Hesheng Silicon Industry Co., Ltd",CN,,5364701,
"Cofco Excel Joy (Tianjin) Co., Ltd.",CN,,4984075,
"Chongqing Tianxu Chemical Industry Co., Ltd",CN,,5441723,
"Guangdong Galanz Electrical Appliances Manufacturing Co., Ltd",CN,,5298248,
