company_name,country,input_full_address,firm_id,input_industry
Xp Inc.,BR,,14784234,
Brf S.A.,BR,,1152650,
Jiangxi Provincial Water Conservancy Investment Group Corp.,CN,,16549598,
"Luohe Anzhe Construction Labor Service Subcontracting Co., Ltd",CN,,16353122,
Changbai Chaoxian Autonomous County Linfeng Fungus Co. Ltd,CN,,17150013,
"Longyan City Longdi Trading Co., Ltd",CN,,12271908,
"Tom YIN SENQI BIOTECHNOLOGY CO., LTD",CN,,17164127,
"Wuhan Shengxianghe Labor Service Engineering Co., Ltd",CN,,17165077,
"Nanchong Jinyirun Financial Information Co., Ltd",CN,,16372202,
Ada S.A.S.,CO,,1180469,
RWi Zrt.,HU,,2416351,
IST Ltd.,IN,,1624303,
CCM Trading SIA,LV,,8397480,
"Christus Muguerza, S.A.P.I. De C.V.",MX,,8327300,
Intel Semiconductores Del Peru S.A.,PE,,1240320,
Cia. Minera Condesa S.A.,PE,,3939602,
Nuevas Inversiones S.A.,PE,,3939603,
Electrica Cabo Blanco S.A.C.,PE,,3939612,
Palmas Del Oriente S.A.,PE,,3939615,
Inversiones Portuarias S.A.,PE,,3939620,
Minera Latinoamericana S.A.C. - Minlat S.A.C.,PE,,3939621,
Parque El Golf S.A.C.,PE,,3939948,
"Fujihiro Philippines, Inc.",PH,,1671827,
Platinum Group Metals Corporation,PH,,2341491,
B-Mirk Enterprises Corporation,PH,,13782667,
"Panasiatic Call Centers, Inc.",PH,,13786296,
"E.F. Chua Construction, Inc.",PH,,13787073,
"B.M. Domingo Motor Sales, Inc.",PH,,13788926,
Boxtalks Inc.,PH,,13792772,
"Handling Innovation, Inc.",PH,,13793054,
Fuji-Haya Electric Corporation Of The Philippines,PH,,13795549,
Sam Lim Corporation,PH,,13797551,
United Steel Master Mfg. Corp.,PH,,13798819,
Cdr P.S.A.,PL,,14746115,
Galvatek Polska Sp. z o.o.,PL,,3529762,
"""Firma Rozalczyk"" Sp. z o.o.",PL,,3721154,
Kopalnia Granitu Kamienna Gora - Celiny Sp. z o.o.,PL,,4438864,
Infatech Sp. z o.o.,PL,,13498635,
Electroban S.A.E.C.A.,PY,,2644146,
Frigorifico Concepcion S.A.,PY,,2644165,
Aeronamic Eastern Europe SRL,RO,,4283422,
Expotehnica SRL,RO,,1478964,
Rubian Company SRL,RO,,3153836,
Straco Holding S.R.L.,RO,,14156239,
United Energy S.R.L.,RO,,18226980,
Titanic Grup SRL,RO,,4278388,
Agro Oil Service SRL,RO,,2375159,
Wilmar International Limited,SG,,1691408,
Flex Limited,SG,,3698940,
Dbs Group Holdings Ltd,SG,,1691061,
China Aviation Oil (Singapore) Corp Ltd,SG,,1690730,
Bitmain Development Pte. Ltd.,SG,,21683527,
Fashion Choice Pte. Ltd.,SG,,17388834,
Chanhua Pte. Ltd.,SG,,22250860,
Tolstar Investments Pte Ltd,SG,,22251034,
Great Teco Motor (Pte) Ltd.,SG,,22247038,
Springhead Holdings Pte. Ltd.,SG,,22240505,
Hella Infra Market Singapore Pte. Ltd.,SG,,17411647,
Rui Chi Footwear Pte. Ltd.,SG,,22241392,
Vena Global Group Pte. Ltd.,SG,,22246534,
Cube Technology Pte. Ltd.,SG,,22245165,
Hng D.o.o.,SI,,8559678,
Pet Pak D.o.o.,SI,,8563452,
Ges D.o.o.,SI,,8554061,
Igepa Pako D.o.o.,SI,,8545718,
Alpha Real D.O.O.,SI,,8550814,
Vitapharm D.O.O. - V Likvidaciji,SI,,3640889,
"Havas Media Slovakia, S. R. O.",SK,,7474123,
Rittal S.R.O.,SK,,4889224,
Clarios Slovakia Spol. S R.O.,SK,,12958551,
"Albi, S.R.O.",SK,,2405676,
Aon Bratislava S.R.O.,SK,,4888887,
Steelberry S. R. O.,SK,,4898692,
"T E M P O, Spol. S R.O.",SK,,2334510,
