company_name,country,input_full_address,firm_id,input_industry
A M Corporation,Bangladesh,"Block-Cen (H), Plot-16, Road-111, Gulshan, Dhaka, Dhaka, 1212",2,
ACPS Automotive Kft.,Hungary,"Kadafalva-Heliport 11751/43.
Kecskemet, Bacs-Kiskun, Hungary
6000",5,
Ayaks-1 Eood OOD (Аякс-1 ООД),Bulgaria,"Bul. Aleksandar Batenberg 28, ET. 5, Ofis 41 Faks: 042/ 606 699, Stara Zagora, Stara Zagora, 6000",16,
"Baby Ddo Co.,ltd.",South Korea,"3/F, 58 Myeongnyesandan 4-Ro, Jangan-Eup Gijang-Gun, Busan, Busan, 46028",17,
Cameras World Llc,Ukraine,"10A Vul. Akademika Filatova, Kyiv, Kiev, 01042",24,
Compania De Transporte De Bebidas S A S,Colombia,"Calle 25 D # 95 A 85, Porteria 2, Bogota D.C., Bogota D.C, 0703",26,
Contact Sp. z o.o.,Poland,"Wedrzyn 12/4A
Wedrzyn, Lubuskie, Poland
69-211",31,
d.o.o. Delic-Transport,Bosnia and Herzegovina,"Dikaljib.B., Sokolac, Republic of Srpska, 71350",34,
Elbaraka For Smelting Of Metals And Aluminum,Egypt,"Ismailia Street, Mit Ghamr Road, Port Said, Road, Mit Ghamr, Nile Delta,",40,
Enterprise EOOD,Bulgaria,"Ul. Balgariya 46, Vh. A, ET. 4, Ap. 10
Kavarna, Dobrich, Bulgaria
9650",45,
Erko Spol. S R.O. V Likvidaci,Czech Republic,"Mostecka 290/3, Hradec Kralove, Kralovehradecky, 50003",47,
Gr Participacoes S.A. (Cruzeiro),Brazil,"Rua Jose Rossetti 136, Sala A, Distrito Industrial II, Cruzeiro, Sao Paulo, 12704420",56,
Itqan Engineering Bureau,Iraq,"Dream Building, Commercial Road, Al Saidiyah, Baghdad, Baghdād,",64,
Kdm Industrial S.A,Chile,"Alcalde Guzman 0180, Santiago; Santiago, , 8700000",66,
Kharkivvodokanal Kp,Ukraine,"90 Vul. Kontorska
Kharkiv, Kharkiv Oblast, Ukraine
61052",67,
Kominvex D.O.O. Beograd,Serbia,"Nikole Marakovica 21, Belgrade, Belgrade,",68,
Kopiika-Tsentr Tov,Ukraine,"1 Vul. Bolharska, Odesa, Odesa Oblast, 65007",70,
Landmass Holding Real Estate Exchange Limited Company,Vietnam,"Shophouse 08, Tầng 1, Tòa Saigontel Central Park,
Đường Nguyễn Văn Cừ, Phường Ngô Quyền,
Thành phố Bắc Giang, Tỉnh Bắc Giang,
Vietnam",71,
Lexicon Trinidad Limited,Trinidad and Tobago,"Lp #49 Boundary Rd, San Juan, Saint George,",73,
Log-siberia EOOD (Лог-Сиберия ЕООД),Bulgaria,"Bul. Nikola Y. Vaptsarov 51A, Sofia, Sofia - city, 1407",75,
Meta Build Bg Ltd.,Bulgaria,"Druzhba - 2, Bul./Ul. Kompleks Tsarigradski, Bl. 284, Ap. Magazin 13.4
Sofia, Sofia - city, Bulgaria
1582",78,
Oyl Company Holding Ag SRL,Romania,"Soseaua Brailei Nr. 1, SLOBOZIA, Ialomita, 077040",83,
Pelo Tekstil San. Ve Tic. Ltd. Sti.,Turkiye,"D:2 No:30 Guzelyali Mahallesi Erdil Sokak Pendik, Istanbul, Marmara, 34903",87,
Perc d.o.o.,Slovenia,"Armesko 13, Brestanica, Krsko, 8280",88,
Petrogreen Corp.,Philippines,"275 D. Tuazon Street, Barangay San Jose, Quezon City, National Capital Region, 1115",89,
Phu Hoa Limited Liability Company (Công Ty Tnhh Phú Hòa),Vietnam,"77 Trieu Nu Vuong, Hai Chau Ward, Da Nang municipality, South Central Coastal Vietnam,",91,
"Predistribuce, A.S.",Czech Republic,"Svornosti 3199/19, Prague, The City of Prague, 15000",93,
Ramzai Prat,Ukraine,"Bud. 12 Vul. Kavkazka, Kyiv, Kiev, 03035",99,
"Shaoxing Nonchi Knitting Co., Ltd. (绍兴侬驰针织有限公司)",China,"Floor 2, Building 4, Lianxing Village, Qianqing Street, Keqiao District, Shaoxing City, Zhejiang Province, Shaoxing, Zhejiang, 312030",103,
Tai He Dian Limited,"Taiwan, China","23, Chung Yang W. Rd., Sec. 2,, Taoyuan City, Taoyuan City, 320006",110,
The Coffee Factory Company Limited,Thailand,"47 Moo 10
Chiang Rai, Northern Thailand, Thailand
57210",112,
"Thuan Hoa Investment and Trading Co., Ltd.",Vietnam,"295 Nguyễn Trãi, Thanh Xuân Trung,
Thanh Xuân District, Hà Nội, Vietnam",113,
Tpk Specservis OOO (Тпк Спецсервис ООО),Russia,"4/1, 34, Leningrad Oblast, Leningrad Oblast, 188517",114,
UAB Publica,Lithuania,"Tilzes g. 60, Klaipeda, Klaipeda County, LT-91108",115,
Vidi Elit Tov,Ukraine,"58 Vul. Velyka Kiltseva, Sofiivska Borshchahivka, Kyyivska obl., 08131",118,
Vogel Solucoes em Telecomunicacoes e Informatica S.A.,Brazil,"Avenida Prof Vicente Rao 1262, Jardim Petropolis, Sao Paulo, Sao Paulo, 04636001",120,
Wschodni Front Sp. z o.o.,Poland,"Ul. Handlowa 5, Bialystok, Podlaskie, 15-399",121,
"Yue Wing Cheong Manufactory Co., Ltd.",Cambodia,"Road 41, Kilometer 23, Makak Village, Snam Krapeu Ward,, Kong Pisei District; Kampong Speu, ,",124,
