company_name,country,input_full_address,input_industry,firm_id
"""Bag Polska"" Sp. z o.o.",Poland,"Ul. Lesna 10, Krzemieniewo, Wielkopolskie, 64-120",,1
A M Corporation,Bangladesh,"Block-Cen (H), Plot-16, Road-111, Gulshan, Dhaka, Dhaka, 1212",,2
Abc Sac Metal A.S.,Turkiye,"Turgut Ozal 2 Bulvari No:156 Altinevler Mahallesi Mamak, Ankara, Central Anatolia, 06350",,3
Acerolatina S.A.,Argentina,"Rodriguez Pena 2368, General Gutierrez; Mendoza, , 5511",,4
ACPS Automotive Kft.,Hungary,"Kadafalva-Heliport 11751/43.
Kecskemet, Bacs-Kiskun, Hungary
6000",,5
Adkoturk Gida San. Ve Tic. Ltd. Sti.,Turkiye,"Cerkezkoy Organize San Bolgesi No:40 Karaagac Mahallesi Fatih Bulvari Kapakli, Tekirdag, Marmara, 59510",,6
Adoni Corporate Services,Nigeria,"No 13 Olusoji Str Orimolade Colledge Road Ikeja, Lagos, Lagos, ",,7
Agroquimicos Semillas Y Equipos De Riego S.A.S,Colombia,"Cr 16A # 78-11 Ofc 401, Bogota D.C., Bogota D.C, 0812",,8
Agrovid S A S,Colombia,"Cl 71 # 6 - 21 Of 401, Bogota D.C., Bogota D.C, 0208",,9
Aktsiaselts Tallink Duty Free,Estonia,"Sadama tn 7 Kesklinna linnaosa, Tallinn, Harju county, 10111",,10
Akz - Burgas EOOD,Bulgaria,"K-S Lazur, Bl. 100, ET. Parter, Ap. Ofis Akz
Burgas, Burgas, Bulgaria
8000",,11
Allium UPI OU,Estonia,"Vae tn 16 Laagri alevik, Saue, Harju county, 76401",,12
Aniss V.K. SIA,Latvia,"Abelu iela 17, Gulbene, Gulbenes municipality, 4401",,13
Atlas Internazionale EOOD (Атлас Интернационале ЕООД),Bulgaria,"Strelbishte, Bl. 5B, Vh. A, ET. 8, Ap. 34, Sofia, Sofia - city, 1404",,14
Aubock S.R.O.,Czech Republic,"Porici 247, Borsov nad Vltavou, Jihocesky, 37382",,15
Ayaks-1 Eood OOD (Аякс-1 ООД),Bulgaria,"Bul. Aleksandar Batenberg 28, ET. 5, Ofis 41 Faks: 042/ 606 699, Stara Zagora, Stara Zagora, 6000",,16
"Baby Ddo Co.,ltd.",South Korea,"3/F, 58 Myeongnyesandan 4-Ro, Jangan-Eup Gijang-Gun, Busan, Busan, 46028",,17
Bell Foods Company Limited,Thailand,"21 Moo 5, Pathum Thani, Central Thailand, 12000",,18
Benavides Del Pacifico S.A. De C.V.,Mexico,"Blvd. Garcia Morales, Centro, Hermosillo, Sonora, 06300",,19
Bilen Otomotiv Ticaret Ltd. Sti.,Turkiye,"No:449 Demirtas Mahallesi H. Okan Merzeci Bulvari Toroslar, Mersin, Mediterranean, 33090",,20
Bloomage Biotechnology Corporation Limited,China,"No. 678, Tianchen Street, High-tech Development Zone, Jinan City, Shandong Province
Jinan, Shandong, China
250101",,21
Btg Pactual Resseguradora S.A.,Brazil,"Rua Brigadeiro Faria Lima 3477, Andar 14 - Parte, Itaim Bibi, Sao Paulo, Sao Paulo, 04538133",,22
Budapesti Temetkezesi Intezet Zrt.,Hungary,"Hegedus Gyula utca 49-51.
Budapest, Budapest, Hungary
1136",,23
Cameras World Llc,Ukraine,"10A Vul. Akademika Filatova, Kyiv, Kiev, 01042",,24
Casa Feliz Zablocie Sp. z o.o.,Poland,"Ul. Garncarska 3/7, Krakow, Malopolskie, 31-115",,25
Compania De Transporte De Bebidas S A S,Colombia,"Calle 25 D # 95 A 85, Porteria 2, Bogota D.C., Bogota D.C, 0703",,26
Consejo Nacional Electoral,Colombia,"Carrera 7 # 32-42 Cc San Martin Torre Sur Oriental Piso 4, Bogota D.C., Bogota D.C, 110311",,27
CONSENT Hungary Kft.,Hungary,"Korosi ut 186/A.
Gyal, Pest, Hungary
2360",,28
Construcciones Obycon S.A.S.,Colombia,"Calle 93 B # 13-92 Oficina 303, Bogota D.C., Bogota D.C, 0808",,29
Construcciones S.A.S Construsa,Colombia,"Carrera 18 # 54 C - 99 Interior 1 Parque Empresarial Las Acacias
Giron, Santander, Colombia",,30
Contact Sp. z o.o.,Poland,"Wedrzyn 12/4A
Wedrzyn, Lubuskie, Poland
69-211",,31
Contactamos SAS,Colombia,"Cra 23 62-16 L-218 Av. Santander
Manizales, Caldas, Colombia",,32
Corsat S.R.O.,Czech Republic,"K Nemocnici 168/18, Novy Jicin, Moravskoslezsky, 74101",,33
d.o.o. Delic-Transport,Bosnia and Herzegovina,"Dikaljib.B., Sokolac, Republic of Srpska, 71350",,34
Delamod-Bulgaria OOD (Деламод-България ООД),Bulgaria,"Bul. Vladimir Vazov 83, Sofia, Sofia - city, 1839",,35
Dr. Rothy Kft.,Hungary,"Malom utca 14., Szombathely, Vas, 9700",,36
Dzhien OOD (Джиен ООД),Bulgaria,"Ul. Patriarh Eftimiy 5, ET. 7, Ap. 13, Varna, Varna, 9000",,37
Ecco Thec C.A.,Ecuador,"Via Parque de los Recuerdos, Izamba, Tungurahua, ",,38
Eco - Green Sh.p.k.,Albania,"Shirgjan, Rruga Elbasan-Llixha, Zk. 3376, Np. 606/4, Kati 1, Elbasan, Elbasan, 3000",,39
Elbaraka For Smelting Of Metals And Aluminum,Egypt,"Ismailia Street, Mit Ghamr Road, Port Said, Road, Mit Ghamr, Nile Delta, ",,40
E-Mobile Uruguay Ltda.,Uruguay,"Treinta Y Tres 1382, Montevideo, Montevideo, 11100",,41
Empacadora San Marcos S.A. DE C.V.,Mexico,"Carretera Puebla Amozoc Orientalo Km 54, Col. Nopalucan De La Granja, Nopalucan, Puebla, 75120",,42
Ems Ad Beograd,Serbia,"Kneza Milosa 11, Belgrade, Belgrade,",,43
Energy Market Global OOD (Енерджи Маркет Глобал ООД),Bulgaria,"Mariya Luiza 47, ET. 7, Sofia, Sofia - city, 1202",,44
Enterprise EOOD,Bulgaria,"Ul. Balgariya 46, Vh. A, ET. 4, Ap. 10
Kavarna, Dobrich, Bulgaria
9650",,45
Eqo Polnoc Sp. z o.o.,Poland,"Ul. Ludwika Warynskiego 2, Opole, Opolskie, 45-047",,46
Erko Spol. S R.O. V Likvidaci,Czech Republic,"Mostecka 290/3, Hradec Kralove, Kralovehradecky, 50003",,47
FIORACS Kft.,Hungary,"Fo u. 43., Acs, Komarom-Esztergom, 2941",,48
"Fondo Para La Rehabilitacion, Inversion Social y Lucha Contra El Crimen Organizado",Colombia,"Carrera 7 # 32-42 Centro Comercial San Martin Local 107, Bogota D.C., Bogota D.C, 110231",,49
Frabelle (Png) Limited,Papua New Guinea,"Section 277 Lot 1 Speybank St, Lae, Morobe Province, , ",,50
Franquicias Recorcholis S.A. De C.V.,Mexico,"Nitla No. 12 Int. 1, Tlazintla, Tlazintla, Iztacalco, Sinaloa, , 08710",,51
Frigus Bohn S.A. De C.V.,Mexico,"Acceso 2 Calle 2 No. 48, Benito Juarez, Queretaro, Queretaro, 76120",,52
Geotronics Dystrybucja Sp. z o.o.,Poland,"Ul. Centralna 36
Krakow, Malopolskie, Poland
31-586",,53
Gesyco SAS,Colombia,"Calle 86A # 24-23
Bogota D.C., Bogota D.C, Colombia
0817",,54
Gosil Exports Pvt Ltd,India,"E-70, Epip Sitapura Industrial Area, Jaipur, Rajasthan, 302022",,55
Gr Participacoes S.A. (Cruzeiro),Brazil,"Rua Jose Rossetti 136, Sala A, Distrito Industrial II, Cruzeiro, Sao Paulo, 12704420",,56
Granjas Santa Margarita S.A. De C.V.,Mexico,"Miguel Aleman No. 633-25 Sur, Centro, Sonora, , 85000",,57
Grupo T.T. S A S,Colombia,"Carrera 11B 99 25, Bogota D.C., Bogota D.C, 0810",,58
Hc Electronics A.S.,Czech Republic,"Kalendova 688/11, Hradec Kralove, Kralovehradecky, 50004",,59
"Hongya Chuangjie Communication Co., Ltd (洪雅创捷通信有限公司)",China,"No. 7, Bamianshan Street, General Town, Hongya County, Meishan City, Sichuan Province, Meishan, Sichuan, 620300",,60
Hs Technologies (Phils.) Inc.,Philippines,"Not Disclosed, Not Disclosed, Not Disclosed,",,61
Ilustre Municipalidad De Lo Barnechea,Chile,"Av. El Rodeo 12777, Santiago; Santiago, , 7690000",,62
Industria De Neumaticos S.R.L.,Bolivia,"Carretera Norte Km. 6.5, Zona El Carmen, Santa Cruz de la Sierra, Santa Cruz de la Sierra, ",,63
Itqan Engineering Bureau,Iraq,"Dream Building, Commercial Road, Al Saidiyah, Baghdad, Baghdād, ",,64
"Juewei Food Co., Ltd",China,"Room 1608, Wanbao Building, No. 267, Wanbao Avenue, Furong District, Changsha City, Hunan Province
Changsha, Hunan, China
410016",,65
Kdm Industrial S.A,Chile,"Alcalde Guzman 0180, Santiago; Santiago, , 8700000",,66
Kharkivvodokanal Kp,Ukraine,"90 Vul. Kontorska
Kharkiv, Kharkiv Oblast, Ukraine
61052",,67
Kominvex D.O.O. Beograd,Serbia,"Nikole Marakovica 21, Belgrade, Belgrade, ",,68
KONTAKT - OIL Plus s.r.o.,Czech Republic,"Svobodova 2050
511 01 Turnov",,69
Kopiika-Tsentr Tov,Ukraine,"1 Vul. Bolharska, Odesa, Odesa Oblast, 65007",,70
Landmass Holding Real Estate Exchange Limited Company,Vietnam,"Shophouse 08, Tầng 1, Tòa Saigontel Central Park,
Đường Nguyễn Văn Cừ, Phường Ngô Quyền,
Thành phố Bắc Giang, Tỉnh Bắc Giang,
Vietnam",,71
Leuru S.A.,Argentina,"Marcos Sastre 1990, Ruta Panamericana, Km. 32 (Pacheco Trade Center), El Talar; Buenos Aires, , B1617GWA",,72
Lexicon Trinidad Limited,Trinidad and Tobago,"Lp #49 Boundary Rd, San Juan, Saint George, ",,73
"Logistics Solution, A.S.",Czech Republic,"Havirska 1059, Havlickuv Brod, Kraj Vysocina, 58001",,74
Log-siberia EOOD (Лог-Сиберия ЕООД),Bulgaria,"Bul. Nikola Y. Vaptsarov 51A, Sofia, Sofia - city, 1407",,75
Maciejewski Inwestycje Kreatywne Sp. z o.o.,Poland,"Ul. Sosnowa 11, Kobylnica, Wielkopolskie, 62-006",,76
Mateus Supermercados S.A. (Balsas),Brazil,"Avenida Raimundo Felix 49, Centro, Balsas, Maranhao, 65800000",,77
Meta Build Bg Ltd.,Bulgaria,"Druzhba - 2, Bul./Ul. Kompleks Tsarigradski, Bl. 284, Ap. Magazin 13.4
Sofia, Sofia - city, Bulgaria
1582",,78
Millenium Promocija d.o.o.,Croatia,"Grada Vukovara 23 Str., Zagreb, City of Zagreb, 10000",,79
Nestle Brasil Ltda.,Brazil,"Rodovia Br 101 Sul 3335, Km. 93 5 Sala 02, Distrito Industrial Santo Estevao
Cabo de Santo Agostinho, Pernambuco, Brazil
54503010",,80
Nivo Eko D.o.o.,Slovenia,"Street Xiv. Divizije 10, Celje, Savinjska, 3000",,81
"Ohtsuka Sangyo Material Viet Nam Co., Ltd (Công Ty Tnhh Ohtsuka Sangyo Material Việt Nam)",Vietnam,"Dong Van Iii Industrial Park Dong Van Ward, Duy Tien District, Ha Nam,",,82
Oyl Company Holding Ag SRL,Romania,"Soseaua Brailei Nr. 1, SLOBOZIA, Ialomita, 077040",,83
Palaemon Maritime Pte. Ltd.,Singapore,"31 Club Street, #02-01, Emerald Garden, Singapore 069468, Singapore, Singapore, 069468",,84
Parsa d.o.o.,Croatia,"Radnicka Cesta 80, Zagreb, City of Zagreb, 10000",,85
Pass d.o.o. Bijeljina,Bosnia and Herzegovina,"Ljeskovac, Novo Naselje 22, Bijeljina, Republic of Srpska, 76300",,86
Pelo Tekstil San. Ve Tic. Ltd. Sti.,Turkiye,"D:2 No:30 Guzelyali Mahallesi Erdil Sokak Pendik, Istanbul, Marmara, 34903",,87
Perc d.o.o.,Slovenia,"Armesko 13, Brestanica, Krsko, 8280",,88
Petrogreen Corp.,Philippines,"275 D. Tuazon Street, Barangay San Jose, Quezon City, National Capital Region, 1115",,89
Philipex Trading OOD (Филипекс Трейдинг ООД),Bulgaria,"Kuklensko Shose 12, ET. 3, Plovdiv, Plovdiv, 4004",,90
Phu Hoa Limited Liability Company (Công Ty Tnhh Phú Hòa),Vietnam,"77 Trieu Nu Vuong, Hai Chau Ward, Da Nang municipality, South Central Coastal Vietnam, ",,91
Poz Bruk Sp. z o.o. sp. j.,Poland,"Ul. Poznanska 43
Sobota, Wielkopolskie, Poland
62-090",,92
"Predistribuce, A.S.",Czech Republic,"Svornosti 3199/19, Prague, The City of Prague, 15000",,93
